CustomerID,Age,Gender,ContractType,MonthlyCharges,TotalCharges,TechSupport,InternetService,Tenure,PaperlessBilling,PaymentMethod,Churn,average_monthly_charges,customer_lifetime_value
1,56,Male,One year,107.19,4226.0,Yes,DSL,37,Yes,Cash,No,114.21621621621621,3966.0299999999997
2,69,Female,Month-to-month,88.74,4179.0,Yes,No,24,Yes,Debit card,No,174.125,2129.7599999999998
3,46,Female,Month-to-month,31.16,5563.41,Yes,Fiber optic,62,Yes,Debit card,No,89.73241935483871,1931.92
4,32,Male,Two year,34.77,478.61,No,No,21,Yes,Debit card,No,22.790952380952383,730.1700000000001
5,60,Male,One year,62.81,5708.18,Yes,DSL,37,Yes,Debit card,Yes,154.27513513513514,2323.9700000000003
6,25,Female,Month-to-month,39.57,4699.39,No,Fiber optic,35,Yes,Cash,No,134.26828571428572,1384.95
7,38,Female,Two year,22.78,1665.06,No,DSL,38,No,Internet Banking,No,43.81736842105263,865.6400000000001
8,56,Female,One year,100.5,487.56,Yes,No,53,No,Debit card,No,9.199245283018868,5326.5
9,36,Female,Month-to-month,21.95,957.37,Yes,No,15,Yes,UPI,No,63.824666666666666,329.25
10,40,Female,One year,103.07,4245.06,No,DSL,42,Yes,Internet Banking,No,101.07285714285715,4328.94
11,28,Female,One year,34.41,6091.43,No,DSL,4,Yes,Cash,Yes,1522.8575,137.64
12,28,Female,Month-to-month,117.47,2743.79,No,Fiber optic,39,No,Credit card,No,70.35358974358974,4581.33
13,41,Male,Month-to-month,80.39,3095.08,Yes,Fiber optic,23,Yes,Cash,No,134.56869565217391,1848.97
14,53,Female,Month-to-month,93.5,7479.76,No,DSL,15,Yes,Credit card,No,498.65066666666667,1402.5
15,57,Female,One year,31.05,1782.8,Yes,Fiber optic,12,Yes,UPI,No,148.56666666666666,372.6
16,41,Male,One year,106.21,919.62,No,DSL,70,Yes,Credit card,No,13.137428571428572,7434.7
17,20,Female,Two year,103.92,2812.94,No,DSL,54,No,Debit card,No,52.09148148148148,5611.68
18,39,Female,One year,85.3,5992.78,Yes,DSL,38,Yes,Internet Banking,No,157.70473684210526,3241.4
19,19,Male,Month-to-month,70.23,5046.01,Yes,No,28,No,Internet Banking,No,180.21464285714288,1966.44
20,41,Female,One year,92.15,3384.78,No,DSL,19,No,Debit card,No,178.1463157894737,1750.8500000000001
21,61,Male,Two year,20.59,7721.55,Yes,DSL,69,No,Internet Banking,No,111.90652173913044,1420.71
22,47,Male,Two year,79.24,5906.47,Yes,DSL,64,Yes,Cash,No,92.28859375,5071.36
23,55,Male,Month-to-month,104.74,588.71,No,Fiber optic,4,No,Debit card,No,147.1775,418.96
24,19,Male,Month-to-month,55.69,5982.59,Yes,DSL,10,Yes,Debit card,No,598.259,556.9
25,38,Female,Two year,30.83,289.9,Yes,No,12,Yes,Internet Banking,No,24.15833333333333,369.96
